Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-10-20 04:31:26,32.3182,-86.9023,815324,15263,,,1.0,16628.456809196472,5939522.0,,1.8720165234925008,84000001.0,USA,121135.99629628494,
Alaska,US,2021-10-20 04:31:26,61.3707,-152.4044,130590,683,,,2.0,17851.260004511,3197451.0,,0.5230109503024734,84000002.0,USA,437081.9293413257,
American Samoa,US,2021-10-20 04:31:26,-14.270999999999999,-170.132,3,0,,,60.0,5.3917075537822825,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-10-20 04:31:26,33.7298,-111.4312,1137636,20674,,,4.0,15629.62263816549,13221102.0,,1.8172772310299603,84000004.0,USA,181640.55560890745,
Arkansas,US,2021-10-20 04:31:26,34.9697,-92.3731,507759,8221,,,5.0,16825.446583012017,4023098.0,,1.6190751911832189,84000005.0,USA,133312.10376817052,
California,US,2021-10-20 04:31:26,36.1162,-119.6816,4830872,70874,,,6.0,12226.272361339932,98640328.0,,1.4671057316360276,84000006.0,USA,249645.0984294151,
Colorado,US,2021-10-20 04:31:26,39.0598,-105.3111,712125,7949,,,8.0,12365.994898880588,11705206.0,,1.1162366157626822,84000008.0,USA,203259.9862191981,
Connecticut,US,2021-10-20 04:31:26,41.5978,-72.7554,398979,8721,,,9.0,11190.655899511035,10401565.0,,2.1858293293631994,84000009.0,USA,291745.5172613032,
Delaware,US,2021-10-20 04:31:26,39.3185,-75.5071,140651,2037,,,10.0,14444.05420615262,2319528.0,,1.4482655651221819,84000010.0,USA,238202.27488385275,
Diamond Princess,US,2021-10-20 04:31:26,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-10-20 04:31:26,38.8974,-77.0268,63345,1185,,,11.0,8975.570634885773,2145543.0,,1.8707080274686243,84000011.0,USA,304009.357434442,
Florida,US,2021-10-20 04:31:26,27.7663,-81.6868,3664097,58143,,,12.0,17059.977035755677,41146265.0,,1.5868302613167722,84000012.0,USA,191576.35182887284,
Georgia,US,2021-10-20 04:31:26,33.0406,-83.6431,1620694,28076,,,13.0,15264.476135122432,12121730.0,,1.7323442920131746,84000013.0,USA,114168.2873518367,
Grand Princess,US,2021-10-20 04:31:26,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-10-20 04:31:26,13.4443,144.7937,17154,226,,,66.0,10445.171072100542,240770.0,,1.317476973300688,316.0,GUM,146606.26320564578,
Hawaii,US,2021-10-20 04:31:26,21.0943,-157.4983,82591,876,,,15.0,5833.225037291508,2477127.0,,1.060648254652444,84000015.0,USA,174954.16252316593,
Idaho,US,2021-10-20 04:31:26,44.2405,-114.4788,279921,3316,,,16.0,15663.72795617395,992842.0,,1.1846199463420035,84000016.0,USA,55557.12858793609,
Illinois,US,2021-10-20 04:31:26,40.3495,-88.9861,1673346,27924,,,17.0,13205.252820411526,34016737.0,,1.6687523082494595,84000017.0,USA,268443.9513468506,
Indiana,US,2021-10-20 04:31:26,39.8494,-86.2583,1001697,16370,,,18.0,14879.150544567849,14131535.0,,1.6342267172608085,84000018.0,USA,209909.02108205328,
Iowa,US,2021-10-20 04:31:26,42.0115,-93.2105,469519,6748,,,19.0,14881.413090676277,1690447.0,,1.4372155333436984,84000019.0,USA,53578.74785662442,
Kansas,US,2021-10-20 04:31:26,38.5266,-96.7265,425705,6174,,,20.0,14612.396741305603,1797099.0,,1.4503000904382142,84000020.0,USA,61685.729722233846,
Kentucky,US,2021-10-20 04:31:26,37.6681,-84.6701,728860,9425,,,21.0,16314.085654881192,7178405.0,,1.2931152759103255,84000021.0,USA,160674.36000799524,
Louisiana,US,2021-10-20 04:31:26,31.1695,-91.8678,753532,14388,,,22.0,16209.193179994641,9544630.0,,1.9094079614402573,84000022.0,USA,205314.109422788,
Maine,US,2021-10-20 04:31:26,44.6939,-69.3819,98607,1102,,,23.0,7335.673242018373,2843382.0,,1.117567718316144,84000023.0,USA,211527.79472285626,
Maryland,US,2021-10-20 04:31:26,39.0639,-76.8021,551807,10735,,,24.0,9127.294200156144,13674554.0,,1.9454265712468308,84000024.0,USA,226187.1948234111,
Massachusetts,US,2021-10-20 04:31:26,42.2302,-71.5301,838347,18864,,,25.0,12163.172072612808,30087750.0,,2.2501422442019834,84000025.0,USA,436528.6456893816,
Michigan,US,2021-10-20 04:31:26,43.3266,-84.5361,1229056,23017,,,26.0,12306.734741470715,17006913.0,,1.8727381014372009,84000026.0,USA,170292.9460189527,
Minnesota,US,2021-10-20 04:31:26,45.6945,-93.9002,763915,8581,,,27.0,13545.476016874858,11720798.0,,1.1232925129104678,84000027.0,USA,207829.12785798789,
Mississippi,US,2021-10-20 04:31:26,32.7416,-89.6787,499838,9957,,,28.0,16794.790852205315,2536126.0,,1.9920454227169604,84000028.0,USA,85215.02115653483,
Missouri,US,2021-10-20 04:31:26,38.4561,-92.2884,848234,12410,,,29.0,13820.675370855677,7305868.0,,1.4630396800882774,84000029.0,USA,119037.94227810086,
Montana,US,2021-10-20 04:31:26,46.9219,-110.4544,167268,2206,,,30.0,15650.396995447141,1966410.0,,1.3188416194370711,84000030.0,USA,183986.7587094794,
Nebraska,US,2021-10-20 04:31:26,41.1254,-98.2681,277436,2460,,,31.0,14342.165665154404,3826745.0,,0.8866909845874363,84000031.0,USA,197825.12272488527,
Nevada,US,2021-10-20 04:31:26,38.3135,-117.0554,432861,7465,,,32.0,14053.21678512387,4452440.0,,1.724572091271794,84000032.0,USA,144552.41877359455,
New Hampshire,US,2021-10-20 04:31:26,43.4525,-71.5639,130040,1532,,,33.0,9563.797012747562,2561446.0,,1.1780990464472472,84000033.0,USA,188381.64874741767,
New Jersey,US,2021-10-20 04:31:26,40.2989,-74.521,1183289,27768,,,34.0,13322.04107320379,15927843.0,,2.346679467146234,84000034.0,USA,179323.37632948632,
New Mexico,US,2021-10-20 04:31:26,34.8405,-106.2485,266148,4952,,,35.0,12692.880535322625,4752533.0,,1.8606189037678285,84000035.0,USA,226653.3417841893,
New York,US,2021-10-20 04:31:26,42.1657,-74.9481,2514422,56038,,,36.0,12925.253119467434,73608158.0,,2.228663287228636,84000036.0,USA,378378.8376842677,
North Carolina,US,2021-10-20 04:31:26,35.6301,-79.8064,1455188,17575,,,37.0,13874.679112028467,16457701.0,,1.2077477274414028,84000037.0,USA,156918.08913811142,
North Dakota,US,2021-10-20 04:31:26,47.5289,-99.78399999999999,142407,1724,,,38.0,18687.062207536917,1829673.0,,1.2106146467519152,84000038.0,USA,240095.0316378457,
Northern Mariana Islands,US,2021-10-20 04:31:26,15.0979,145.6739,289,3,,,69.0,524.0824024372552,17542.0,,1.0380622837370241,580.0,MNP,31811.25779776585,
Ohio,US,2021-10-20 04:31:26,40.3888,-82.7649,1503102,23616,,,39.0,12859.005398191477,16851601.0,,1.5711508600214756,84000039.0,USA,144165.08542146106,
Oklahoma,US,2021-10-20 04:31:26,35.5653,-96.9289,635865,9402,,,40.0,16069.488505222807,4592848.0,,1.4786157439079048,84000040.0,USA,116069.79176749085,
Oregon,US,2021-10-20 04:31:26,44.571999999999996,-122.0709,353368,4226,,,41.0,8378.142117443549,7317929.0,,1.1959204002626158,84000041.0,USA,173503.6821878652,
Pennsylvania,US,2021-10-20 04:31:26,40.5908,-77.2098,1517231,30587,,,42.0,11851.525571534235,18128572.0,,2.015975154739127,84000042.0,USA,141607.46427762124,
Puerto Rico,US,2021-10-20 04:31:26,18.2208,-66.5901,184017,3209,,,72.0,5761.885766137895,2943637.0,,1.7438606215730068,630.0,PRI,92170.28932640383,
Rhode Island,US,2021-10-20 04:31:26,41.6809,-71.5118,177280,2867,,,44.0,16734.616433869098,5548054.0,,1.6172157039711192,84000044.0,USA,523717.0331926511,
South Carolina,US,2021-10-20 04:31:26,33.8569,-80.945,888189,13321,,,45.0,17250.69599903976,9288417.0,,1.4997933998281898,84000045.0,USA,180402.65977096415,
South Dakota,US,2021-10-20 04:31:26,44.2998,-99.4388,149996,2189,,,46.0,16955.23359848258,971341.0,,1.4593722499266648,84000046.0,USA,109798.35168126928,
Tennessee,US,2021-10-20 04:31:26,35.7478,-86.6923,1267363,15964,,,47.0,18558.07159108847,10169578.0,,1.2596233281230398,84000047.0,USA,148913.73393034062,
Texas,US,2021-10-20 04:31:26,31.0545,-97.5635,4191397,69304,,,48.0,14455.146232666631,34288649.0,,1.6534821206390136,84000048.0,USA,118253.51676674352,
Utah,US,2021-10-20 04:31:26,40.15,-111.8624,533526,3095,,,49.0,16641.702729730085,4376696.0,,0.5801029378137148,84000049.0,USA,136517.5713468486,
Vermont,US,2021-10-20 04:31:26,44.0459,-72.7107,37651,347,,,50.0,6033.920469751873,2218301.0,,0.9216222676688536,84000050.0,USA,355503.22201192647,
Virgin Islands,US,2021-10-20 04:31:26,18.3358,-64.8963,7085,78,,,78.0,6604.95208263415,194334.0,,1.1009174311926606,850.0,VIR,181166.79718089273,
Virginia,US,2021-10-20 04:31:26,37.7693,-78.17,909499,13538,,,51.0,10655.462192750085,9703773.0,,1.4885118070498151,84000051.0,USA,113686.97088015387,
Washington,US,2021-10-20 04:31:26,47.4009,-121.4905,702425,8322,,,53.0,9224.358109825047,9842443.0,,1.1847528205858278,84000053.0,USA,129252.54497994915,
West Virginia,US,2021-10-20 04:31:26,38.4912,-80.9545,261890,4145,,,54.0,14613.198582482351,4152286.0,,1.5827255718049562,84000054.0,USA,231693.38229509073,
Wisconsin,US,2021-10-20 04:31:26,44.2685,-89.6165,859993,9181,,,55.0,14770.334880567132,11229357.0,,1.0675668290323292,84000055.0,USA,192863.6202660262,
Wyoming,US,2021-10-20 04:31:26,42.756,-107.3025,98567,1136,,,56.0,17030.75027774946,1030882.0,,1.1525155477999736,84000056.0,USA,178119.38993605282,
